Date,Finished Todos (Actual),Total Todos,Day Quality,Long Nap Hours,Did Not Exercise,Day Quality - Sleep Very Late,Day Quality - Sleep Late,Day Quality - Wake Up Very Late,Day Quality - Wake Up Late,Productivity,Productivity - Num,Weekday,Night Sleep Hours,Sleep Hours,Mood,Effectiveness,Exercised,Nap Hours,Sleep At,Things Learned,Wake At,Weight,Bad Decisions,Disappointments,Good Decisions,Sleep Quality,[OLD] Bad Decisions Summary,Bad Decisions Made,Calories Intake,Check-Ins,Food,Mindset Sculpting,Money Spend,Process & Archievements,Summary
"June 2, 2023",0,10,⚪️⚪️🟤⚪️⚫️⚪️🔴 Missing Money Spent.  Missing Actual Finishend Todos.  Missing Calories.  Missing Productivity. ,0,1,0,1,0,0,,#N/A,Friday,3.99,3.99,,0,No,,1.5,,5.49,118.8,,,,Good,,,,"Wake up early, spent half an hour to get fully awaked. After that, doesn’t feels very sleepy. I think it’s a wise decision to wake up very early. The day feels longer, and there will be more time for me to do things. Today’s focus will be - get started Isuzu data analytics before lunch time, and set up the linux machine in the afternoon.  (https://www.notion.so/Wake-up-early-spent-half-an-hour-to-get-fully-awaked-After-that-doesn-t-feels-very-sleepy-I-thin-d467918c61bd4a63b217575dce92a595?pvs=21)",,"These are signs of a wise man, to reprove nobody, to praise nobody, to blame nobody, nor even speak of himself or his own merits.  (https://www.notion.so/These-are-signs-of-a-wise-man-to-reprove-nobody-to-praise-nobody-to-blame-nobody-nor-even-speak--3203aacc5a2e470cbd9f26ddee558a69?pvs=21)",0,,"Wake up early, spent half an hour to get fully awaked. After that, doesn’t feels very sleepy. I think it’s a wise decision to wake up very early. The day feels longer, and there will be more time for me to do things. Today’s focus will be - get started Isuzu data analytics before lunch time, and set up the linux machine in the afternoon. "
"June 1, 2023",6,8,⚪️⚪️🟤🟣⚪️⚪️⚪️,1,0,0,0,0,0,Rest Day,0,Thursday,5.49,8.49,Natural (https://www.notion.so/Natural-b34d7e6c36244228bbf0ec8c11f3a367?pvs=21),0.75,Yes,3,12,,5.49,118.9,,,,Good,,Long nap / Nap late (https://www.notion.so/Long-nap-Nap-late-894a61986c384fe2a58f61b92daf4d6f?pvs=21),2094,"Wake up early. Not as sleepy as I thought. The time of sleep is more important than time of wake up. Today’s main focus will be - bird park visiting, study GPT 3 articles, research on Poisson distribution.  (https://www.notion.so/Wake-up-early-Not-as-sleepy-as-I-thought-The-time-of-sleep-is-more-important-than-time-of-wake-up--bcfe21ad92974a2abc8f007b857d47fe?pvs=21)","McDonald Butter Milk Crispy Chicken Burger (https://www.notion.so/McDonald-Butter-Milk-Crispy-Chicken-Burger-e0950cff7ec0494cb6eafaf06070f31c?pvs=21), Generic Dinner (https://www.notion.so/Generic-Dinner-8168fb09daf24174aedba7e64eb3a0ae?pvs=21)","Cherish some man of high character, and keep him ever before your eyes, living as if he were watching you, and ordering all your actions as if he behind them.  (https://www.notion.so/Cherish-some-man-of-high-character-and-keep-him-ever-before-your-eyes-living-as-if-he-were-watchin-418f4d4c2e494c2b87d4e007405d64fe?pvs=21)",115,,"Wake up early. Not as sleepy as I thought. The time of sleep is more important than time of wake up. Today’s main focus will be - bird park visiting, study GPT 3 articles, research on Poisson distribution. "
"May 31, 2023",6,9,⚪️⚪️🟤🟣⚫️⚪️⚪️,1,0,0,1,0,0,Very Productive,2,Wednesday,3.99,5.24,Exhausted (https://www.notion.so/Exhausted-9314f6c5c3564093afdabb9648c25d44?pvs=21),0.6666666667,Yes,1.25,1.5,"Tensorboard, save training result to a directory",5.49,119.1,,,,Good,,Didn't decline meetings (https://www.notion.so/Didn-t-decline-meetings-a5f16b9aba904ce389e795ad74b43284?pvs=21),2000,Getting very tried after heavy loaded of work.  (https://www.notion.so/Getting-very-tried-after-heavy-loaded-of-work-cac15fa31b3e4900b95213d0754c525e?pvs=21),"Generic Dinner (https://www.notion.so/Generic-Dinner-8168fb09daf24174aedba7e64eb3a0ae?pvs=21), Chicken Rice (https://www.notion.so/Chicken-Rice-869a67808e694ca4acc126b05720e632?pvs=21)","Do what I want, when I want, in a way I want.  (https://www.notion.so/Do-what-I-want-when-I-want-in-a-way-I-want-536b150798574c1facdf5b88747cac76?pvs=21)",17,,Getting very tried after heavy loaded of work. 
"May 30, 2023",8,10,⚪️⚪️⚪️⚪️⚪️⚪️⚪️,0,0,0,0,0,0,Productive,1,Tuesday,5.49,6.49,Natural (https://www.notion.so/Natural-b34d7e6c36244228bbf0ec8c11f3a367?pvs=21),0.8,Yes,1,12,Class based MLP model. Early stopping and call back functions,5.49,118.7,,,,Good,,Afternoon distraction (https://www.notion.so/Afternoon-distraction-a4aa59cbf5064dd4acd1e7f4db71cc4c?pvs=21),1799,"Wake up early. Feeling a bit of difficulty in wake up, still managed to get up on time. Feeling a bit sleepy now. Today’s main focus will be - complete the last model training for material A, I don’t know why I am not able to re-produce the material A’s best model in the history. Then spend some time on Isuzu data pre-processing  (https://www.notion.so/Wake-up-early-Feeling-a-bit-of-difficulty-in-wake-up-still-managed-to-get-up-on-time-Feeling-a-bi-01197deaf74c480798399f75afdb5dc8?pvs=21)","Generic Dinner (https://www.notion.so/Generic-Dinner-8168fb09daf24174aedba7e64eb3a0ae?pvs=21), Other - Light Dinner (https://www.notion.so/Other-Light-Dinner-29b61cd6c383430d8ba792965a247c91?pvs=21)","任何一件事，只要它的因果关系是好的，都值得去做。 (https://www.notion.so/e457acb3a3784e46b7bdaee7b0e3dfeb?pvs=21), 以欢迎的目光看待和接受一切，根据其价值运用每一事物 (https://www.notion.so/b8407fd1906040af88afa84818f9f537?pvs=21)",70,,"Wake up early. Feeling a bit of difficulty in wake up, still managed to get up on time. Feeling a bit sleepy now. Today’s main focus will be - complete the last model training for material A, I don’t know why I am not able to re-produce the material A’s best model in the history. Then spend some time on Isuzu data pre-processing "
"May 29, 2023",6,9,⚪️⚪️🟤⚪️⚪️⚪️⚪️,0,0,0,0,0,0,Productive,1,Monday,4,4,Natural (https://www.notion.so/Natural-b34d7e6c36244228bbf0ec8c11f3a367?pvs=21),0.6666666667,Yes,,1,MLP regression with keras sequential model,5,119.3,,,,Good,,,2094,"Wake up before alarm clock, I consider that as a bless. So I can start everything early. Today’s main focus will be - make some more progress in Isuzu data forecasting pipeline. Study poisson distribution and Finance knowledge catch up.  (https://www.notion.so/Wake-up-before-alarm-clock-I-consider-that-as-a-bless-So-I-can-start-everything-early-Today-s-mai-14fcded48de84e2bb26553a8d54d6f37?pvs=21)","McDonald Butter Milk Crispy Chicken Burger (https://www.notion.so/McDonald-Butter-Milk-Crispy-Chicken-Burger-e0950cff7ec0494cb6eafaf06070f31c?pvs=21), Generic Dinner (https://www.notion.so/Generic-Dinner-8168fb09daf24174aedba7e64eb3a0ae?pvs=21)","Whoever we are, whatever we are doing and wherever we are going, we own it to ourselves, to our art, to the world to do it well.  (https://www.notion.so/Whoever-we-are-whatever-we-are-doing-and-wherever-we-are-going-we-own-it-to-ourselves-to-our-art--8444fb1b4a444ffcbc38d2a392c74e58?pvs=21)",12,"Did one more sharing session with interns, it didn’t start well, but ended well enough. ","Wake up before alarm clock, I consider that as a bless. So I can start everything early. Today’s main focus will be - make some more progress in Isuzu data forecasting pipeline. Study poisson distribution and Finance knowledge catch up. "
"May 28, 2023",9,9,⚪️⚪️🟤🟣⚪️⚪️⚪️,1,0,0,0,0,0,Very Productive,2,Sunday,4.15,6.15,Natural (https://www.notion.so/Natural-b34d7e6c36244228bbf0ec8c11f3a367?pvs=21),1,Yes,2,12.75,Training a keras sequential MLP model fore image classification,4.9,118.7,,,,Normal,,Not calm enough (https://www.notion.so/Not-calm-enough-8f5ec206e59d4221be16bf07d2f5386a?pvs=21),1886,"First time in a long while wake up very early. I think this is a good start of new routine, and probably it’s time to change my lifestyle completely. That’s some really good positivity that LC’s parents bring to me. Today my main focus will be try as hard as possible to complete all the required charts and graphs for Daido steel. Prepare some proposal for Isuzu, and finally reading as much as possible.  (https://www.notion.so/First-time-in-a-long-while-wake-up-very-early-I-think-this-is-a-good-start-of-new-routine-and-prob-ae8042926fd44c929908f9dfe0f86cfa?pvs=21)","Generic Dinner (https://www.notion.so/Generic-Dinner-8168fb09daf24174aedba7e64eb3a0ae?pvs=21), Half Watermelon (https://www.notion.so/Half-Watermelon-d367baf56efb47fca8189250b13accc8?pvs=21)","Make things better by doing better things. (https://www.notion.so/Make-things-better-by-doing-better-things-4060240e3032433398fa772cb98ad351?pvs=21), Whatever happens to you has been waiting to happen since the beginning of time. The twinning stands of feat wove both of them together: your own existence and the things that happen to you.  (https://www.notion.so/Whatever-happens-to-you-has-been-waiting-to-happen-since-the-beginning-of-time-The-twinning-stands--7bdec074d5de4fbc931a18ebbb13cee3?pvs=21)",81.9,Completed all Daido Steel final report. Made some progress in Isuzu demand forecasting tasks. ,"First time in a long while wake up very early. I think this is a good start of new routine, and probably it’s time to change my lifestyle completely. That’s some really good positivity that LC’s parents bring to me. Today my main focus will be try as hard as possible to complete all the required charts and graphs for Daido steel. Prepare some proposal for Isuzu, and finally reading as much as possible. "
"May 27, 2023",9,10,⚪️⚪️⚪️🟣⚫️⚪️⚪️,1,0,0,1,0,0,Productive,1,Saturday,4,6,Natural (https://www.notion.so/Natural-b34d7e6c36244228bbf0ec8c11f3a367?pvs=21),0.9,Yes,2,1.5,Set up boox device,5.5,120.7,,,,Normal,,Night snacks  (https://www.notion.so/Night-snacks-3ecc997def72490aa9f625d2448204fc?pvs=21),1540,"Wake up very early. Start from today, I am changing alarm clock to 5:59. Leveraging this opportunity as the change point of my overall time and rythum. Today’s main focus will be - Complete daido steel todos as much as possible. Mainly generating some charts and diagrams. Weekly review. Reading and Jog at night.  (https://www.notion.so/Wake-up-very-early-Start-from-today-I-am-changing-alarm-clock-to-5-59-Leveraging-this-opportunity-c356d612be424ef4b2d56377c0baeefc?pvs=21), Be able to focus on work for a sort while at night. The import things left to do is laundry, jogging and clean up google keep notes. If I can complete my 100 day drawing practice, it will be a plus (https://www.notion.so/Be-able-to-focus-on-work-for-a-sort-while-at-night-The-import-things-left-to-do-is-laundry-jogging-989dd8c825b64b8995127d084e642f35?pvs=21)","Rice dumpling (2) (https://www.notion.so/Rice-dumpling-2-871b44e167864158a1adfcd406c78717?pvs=21), Durian (https://www.notion.so/Durian-af8a720ffe5d4084854e2c87ac58d5e6?pvs=21)","Work more on things that I enjoy, avoid things that I don’t enjoy.  (https://www.notion.so/Work-more-on-things-that-I-enjoy-avoid-things-that-I-don-t-enjoy-a2c2e8178b124a5e86c4c4c6df9cf778?pvs=21)",78,,"Wake up very early. Start from today, I am changing alarm clock to 5:59. Leveraging this opportunity as the change point of my overall time and rythum. Today’s main focus will be - Complete daido steel todos as much as possible. Mainly generating some charts and diagrams. Weekly review. Reading and Jog at night. , Be able to focus on work for a sort while at night. The import things left to do is laundry, jogging and clean up google keep notes. If I can complete my 100 day drawing practice, it will be a plus"
"May 26, 2023",6,9,🔵🔵🟤⚪️⚫️⚪️⚪️,0,0,0,1,1,1,Productive,1,Friday,8,8.75,Exhausted (https://www.notion.so/Exhausted-9314f6c5c3564093afdabb9648c25d44?pvs=21),0.6666666667,Yes,0.75,1.5,,9.5,119.4,,,,Good,,,3337,"Wake up late. Continued sleep after snoozed alarm clock. Today’s main focus will be - as much as possible try to complete Daido steel final report todos. Initial visualisation and forecasting of 1 product (pipeline) for Isuzu, study zinb model (https://www.notion.so/Wake-up-late-Continued-sleep-after-snoozed-alarm-clock-Today-s-main-focus-will-be-as-much-as-pos-4609102b2fd8451ba1dbc87737900cf1?pvs=21)","Full Pizza with Side (https://www.notion.so/Full-Pizza-with-Side-5c9cbfa372ac4dd0a8075fafaff63542?pvs=21), Tom Yum Soup (https://www.notion.so/Tom-Yum-Soup-ff160fb5d6c94a39b694b897f4cc1256?pvs=21), Fried Rice (https://www.notion.so/Fried-Rice-2c172779c65c4b1aa5c32dc8897dac69?pvs=21)","If you are distressed by anything external. The pain is not due to the thing itself, but your estimate of it. And thus you have the power to revoke it at any moment.  (https://www.notion.so/If-you-are-distressed-by-anything-external-The-pain-is-not-due-to-the-thing-itself-but-your-estima-29f64c7bbae542f59c5f30ab7af2a0c0?pvs=21)",62,,"Wake up late. Continued sleep after snoozed alarm clock. Today’s main focus will be - as much as possible try to complete Daido steel final report todos. Initial visualisation and forecasting of 1 product (pipeline) for Isuzu, study zinb model"
"May 25, 2023",7,7,⚪️⚪️⚪️🟣⚪️⚪️⚪️,1,0,0,0,0,0,Productive,1,Thursday,5.25,7.25,Natural (https://www.notion.so/Natural-b34d7e6c36244228bbf0ec8c11f3a367?pvs=21),1,Yes,2,1,TensorFlow playground. Understand how MLPs converged. ,6.25,120.3,,,,Good,,Long nap / Nap late (https://www.notion.so/Long-nap-Nap-late-894a61986c384fe2a58f61b92daf4d6f?pvs=21),1752,Wake up before the alarm clock again. This is a good sign of I am getting back in track. Today’s focus will be - Complete 4 daido steel model training report. Housework - get the bedroom ready. Study Gradient descent. And create jupiter notebook for the IDSC APIs calling (https://www.notion.so/Wake-up-before-the-alarm-clock-again-This-is-a-good-sign-of-I-am-getting-back-in-track-Today-s-foc-d8face51e26341e886f76a2491cbee6e?pvs=21),"Generic Dinner (https://www.notion.so/Generic-Dinner-8168fb09daf24174aedba7e64eb3a0ae?pvs=21), Half Hami Melon (https://www.notion.so/Half-Hami-Melon-843703bb7ac6495e96025e8c38ef47d8?pvs=21), Grapes (https://www.notion.so/Grapes-068751188e3c411ba606a1f7dfb9c41e?pvs=21)","You have to let it happen, but not caring about it.  (https://www.notion.so/You-have-to-let-it-happen-but-not-caring-about-it-41507866d046459eb0f38252fc4884ec?pvs=21)",59,Bought the 2 layered bed. Cleaned gust room. ,Wake up before the alarm clock again. This is a good sign of I am getting back in track. Today’s focus will be - Complete 4 daido steel model training report. Housework - get the bedroom ready. Study Gradient descent. And create jupiter notebook for the IDSC APIs calling
"May 24, 2023",7,9,🔵🔵🟤⚪️⚫️⚪️🔴,0,1,0,1,1,1,Productive,1,Wednesday,7,7,Natural (https://www.notion.so/Natural-b34d7e6c36244228bbf0ec8c11f3a367?pvs=21),0.7777777778,No,,2,"Multi Layered Perceptrons, a bit about normal distribution. ",9,119.5,,,,Good,,Didn't work at night (https://www.notion.so/Didn-t-work-at-night-26408f736a9f4aa083bc6a1f1196448e?pvs=21),2050,"When wake up right before alarm clock, it should be a blessing, instead of an excuse of wanting to sleep more. Today’s main focus is : complete all Daido Steel final report, review the writing with Chat GPT, draw out all necessary charts.  (https://www.notion.so/When-wake-up-right-before-alarm-clock-it-should-be-a-blessing-instead-of-an-excuse-of-wanting-to-s-bf640b4c251548418a4ca66650def0a6?pvs=21)","Mala  (https://www.notion.so/Mala-277d4bd844e84c49ab2a95550d06ba60?pvs=21), Beef Noodle  (https://www.notion.so/Beef-Noodle-97fd0330993a42d18620d24855f437d0?pvs=21)","Enjoy and like are different, you can do something you don’t like at all, but you enjoy because it bring your good result.  (https://www.notion.so/Enjoy-and-like-are-different-you-can-do-something-you-don-t-like-at-all-but-you-enjoy-because-it-b-fa2b10e8ee9047e3894969d37a27be37?pvs=21)",115,,"When wake up right before alarm clock, it should be a blessing, instead of an excuse of wanting to sleep more. Today’s main focus is : complete all Daido Steel final report, review the writing with Chat GPT, draw out all necessary charts. "
