Day,Weekday,🌼 Good Habit Tracking,Effectiveness,📛 Bad Habit Tracking,Productivity,Morning Exercise,Evaluation After Each Task,Meditation,Reading,Code Practice,Night Exercise,Night Reflection,Personal Project,Wake Up Time,Sleep Time,Nap Hours,Total Sleep Hours,Browsing Social Media Times,"Eating Quality (1 - poor, 5 - good)",💰 Money Spend,Good parts - achievement,Week,Date,Good Habit Tracking Calculation,Assumptions To Chellenge,Finished Todos (Fixed Number),Habit,Today Todos,Bad parts - to Improve,Total Todos,Weight,Effectiveness Ref,Finished Todos Rollup (Changes over time),Sleep Quality
Oct 2,Saturday," 0%"," 0%",⚪️⚪️⚪️⚪️⚪️⚪️⚪️🔴,,No,No,No,No,No,No,No,No,,,0,0,,,,,Week 39 < (https://www.notion.so/Week-39-1e0b4bcb209b4db7a720b216b5572116?pvs=21),"October 2, 2021",0,Can I be more mindful while have to considering multiple projects?,0,Drink at least 6 cups of water each day,1 - Codecademy Practice (https://www.notion.so/1-Codecademy-Practice-1b5cddbf55c448e1ba720e1025874f08?pvs=21),,1,,0,,
Oct 1,Friday," 0%",█████ 50%,⚪️⚪️⚪️⚪️⚪️⚪️⚪️🔴,,No,No,No,No,No,No,No,No,,,0,0,,,,,Week 39 < (https://www.notion.so/Week-39-1e0b4bcb209b4db7a720b216b5572116?pvs=21),"October 1, 2021",0,Can I be more mindful while have to considering multiple projects?,0,Drink at least 6 cups of water each day,"Pack digital items (https://www.notion.so/Pack-digital-items-ea05f5d05c5e43c4a6085014c61e18a1?pvs=21), Wash bedsheet (https://www.notion.so/Wash-bedsheet-cb615153d7fe4510b817a9fbe481252c?pvs=21)",,2,,0.5,1,
Sep 30,Thursday," 0%",██ 25%,🔵🔵⚪️⚪️⚪️⚫️⚫️🔴,,No,No,No,No,No,No,No,No,9,3,0,6,,,,,Week 39 < (https://www.notion.so/Week-39-1e0b4bcb209b4db7a720b216b5572116?pvs=21),"September 30, 2021",0,Can I be more mindful while have to considering multiple projects?,0,Drink at least 6 cups of water each day,"1 - Codecademy Practice (https://www.notion.so/1-Codecademy-Practice-4ed0b53fb17042debaae6fd931cf5974?pvs=21), 2 - Doulingo Study (https://www.notion.so/2-Doulingo-Study-af867c0b33ac4151a6291c73701d66bc?pvs=21), 3 - Meditation (https://www.notion.so/3-Meditation-89214122854b4af99609afdda1f7dad8?pvs=21), 4 - Calligraphy Practice (https://www.notion.so/4-Calligraphy-Practice-ad3c7ec32f5f4f2c9c08c81b3061f7d2?pvs=21), 5 - Summary, Question and Inspiration (https://www.notion.so/5-Summary-Question-and-Inspiration-b86e286416514d5eb79fe6201d4d9f38?pvs=21), 6 - Deepstash / Article Reading (https://www.notion.so/6-Deepstash-Article-Reading-a21fbf05b19148cbb7f4824dcc50e7c8?pvs=21), [IHI] landing page refactor (https://www.notion.so/IHI-landing-page-refactor-8044e7c089094a2eb7f7b11610fb450c?pvs=21), Clean up Kitchen and cabinate (kitchen cabinate as temp storage) (https://www.notion.so/Clean-up-Kitchen-and-cabinate-kitchen-cabinate-as-temp-storage-035291f233994ff5986001766c075665?pvs=21)",,8,,0.25,2,Normal
Sep 29,Wednesday," 0%",████████ 83%,⚪️⚪️⚪️⚪️⚪️⚫️⚫️🔴,,No,No,No,No,No,No,No,No,7,2.5,0,4.5,,,,,Week 39 < (https://www.notion.so/Week-39-1e0b4bcb209b4db7a720b216b5572116?pvs=21),"September 29, 2021",0,Can I be more mindful while have to considering multiple projects?,0,Drink at least 6 cups of water each day,"1 - Codecademy Practice (https://www.notion.so/1-Codecademy-Practice-1639df0e4d8e4f52a39c7cbd93fc305b?pvs=21), 2 - Doulingo Study (https://www.notion.so/2-Doulingo-Study-509bf5da491a4571877327e571677d0e?pvs=21), 3 - Meditation (https://www.notion.so/3-Meditation-4aca606a51ba467f9d43da63713b5f1a?pvs=21), 4 - Calligraphy Practice (https://www.notion.so/4-Calligraphy-Practice-6314697179b24439b2f39298c9aa1875?pvs=21), 5 - Summary, Question and Inspiration (https://www.notion.so/5-Summary-Question-and-Inspiration-8c7b2bbe416841169e94924ef25bc583?pvs=21), 6 - Deepstash / Article Reading (https://www.notion.so/6-Deepstash-Article-Reading-a84eeb97d5e9499e8043d73a77e01fb3?pvs=21), Rebecca onboarding meeting (https://www.notion.so/Rebecca-onboarding-meeting-1f20926a3d124b908f832084cdd0bbbb?pvs=21), [IHI] landing page refactor (https://www.notion.so/IHI-landing-page-refactor-8044e7c089094a2eb7f7b11610fb450c?pvs=21), Clean up Kitchen and cabinate (kitchen cabinate as temp storage) (https://www.notion.so/Clean-up-Kitchen-and-cabinate-kitchen-cabinate-as-temp-storage-035291f233994ff5986001766c075665?pvs=21), Clean the yard area (https://www.notion.so/Clean-the-yard-area-b49435a5eea144e89a676ffaf69824be?pvs=21), Get nin residece's contact number for Sebasdan (https://www.notion.so/Get-nin-residece-s-contact-number-for-Sebasdan-669e7f7d29ea4f5ca8c72df8172f55e1?pvs=21), Pack books and paper documents (https://www.notion.so/Pack-books-and-paper-documents-9df16ac796904d5f8e4dd645b165bea9?pvs=21)","Over eating, lost self control and watched netflex till late night. ",12,114,0.833333333333,10,Good
Sep 28,Tuesday," 0%",██████ 67%,⚪️⚪️⚪️⚪️⚪️⚫️⚫️🔴,,No,No,No,No,No,No,No,No,8,2.5,0,5.5,,,,,Week 39 < (https://www.notion.so/Week-39-1e0b4bcb209b4db7a720b216b5572116?pvs=21),"September 28, 2021",0,Can I be more mindful while have to considering multiple projects?,0,Drink at least 6 cups of water each day,"1 - Codecademy Practice (https://www.notion.so/1-Codecademy-Practice-2772e742cf4a463fa0161bc7fa71a693?pvs=21), 2 - Doulingo Study (https://www.notion.so/2-Doulingo-Study-544d9f0ece8642c4bf0b3353133c9c38?pvs=21), 4 - Calligraphy Practice (https://www.notion.so/4-Calligraphy-Practice-77872e7905e047ce91da291994717d6e?pvs=21), 3 - Meditation (https://www.notion.so/3-Meditation-31e81a4e255c47b0b4369cd308886500?pvs=21), 5 - Summary, Question and Inspiration (https://www.notion.so/5-Summary-Question-and-Inspiration-f35ddc70998a48a78146cd01cbf2a220?pvs=21), 6 - Deepstash / Article Reading (https://www.notion.so/6-Deepstash-Article-Reading-2028c04b44704deeb8cb5357a617a894?pvs=21), [API Docs] Deployment documentation (https://www.notion.so/API-Docs-Deployment-documentation-733b3ace5f1b4850bba61cc8b7272079?pvs=21), [SR] Proper user flow with error handling (https://www.notion.so/SR-Proper-user-flow-with-error-handling-a62853d33c7f40ebb5bfd6e8c548892d?pvs=21), Review ScribeRabbit whole user journey  (https://www.notion.so/Review-ScribeRabbit-whole-user-journey-4200200447da4f058ffb6f6855b2fa62?pvs=21)","Over eating on dinner. ",9,,0.666666666667,6,Good
Sep 27,Monday,░░░░░ 50%,██████ 67%,⚪️⚪️⚪️⚪️⚪️⚫️⚪️⚪️,🚀 Productive,Yes,No,Yes,Yes,No,No,Yes,No,6.5,2,0,4.5,,,,Opened new home utilities. Received first letter for new home,Week 39 < (https://www.notion.so/Week-39-1e0b4bcb209b4db7a720b216b5572116?pvs=21),"September 27, 2021",0.5,Can I be more mindful while have to considering multiple projects?,6,Drink at least 6 cups of water each day,"6 - Deepstash / Article Reading (https://www.notion.so/6-Deepstash-Article-Reading-7cf2c67a458b43fa8ae1d26c6af0e51e?pvs=21), 4 - Calligraphy Practice (https://www.notion.so/4-Calligraphy-Practice-e9542de77c054b2e966064c58e5d2c8a?pvs=21), 3 - Meditation (https://www.notion.so/3-Meditation-cb9b90337057412e9a5427ce8643c7bf?pvs=21), 2 - Doulingo Study (https://www.notion.so/2-Doulingo-Study-5090bf6372d94a8897cd4b0b582f87da?pvs=21), 1 - Codecademy Practice (https://www.notion.so/1-Codecademy-Practice-3fa8dfdb9e2d4513a788ae9712453385?pvs=21), [SR] Proper user flow with error handling (https://www.notion.so/SR-Proper-user-flow-with-error-handling-a62853d33c7f40ebb5bfd6e8c548892d?pvs=21), Review ScribeRabbit whole user journey  (https://www.notion.so/Review-ScribeRabbit-whole-user-journey-4200200447da4f058ffb6f6855b2fa62?pvs=21), Ask Eddit to add Rebecca to ScribeRabbit Monday Meeting (https://www.notion.so/Ask-Eddit-to-add-Rebecca-to-ScribeRabbit-Monday-Meeting-36cdc3fd690d492aa3c95e07d8a5a552?pvs=21), Prepare for Rebecca Onboarding (https://www.notion.so/Prepare-for-Rebecca-Onboarding-128ba4a8161140f880e8a3aa36cbe25e?pvs=21)",Feeling overwhelmed with work and time pressure,9,114.4,0.666666666667,9,Good
Sep 26,Sunday," 0%",█ 18%,🔵🔵⚪️⚪️⚪️⚫️⚪️🔴,🚀 Productive,No,No,No,No,No,No,No,No,10.5,2,0,8.5,,,,Started practice relaid gratification technique,Week 38 (https://www.notion.so/Week-38-61499056ba2647fcbff77bfa12961426?pvs=21),"September 26, 2021",0,Can I start immediately when I realised there is more meaningful thing to do?,2,❌ Record calories taken each meal,"1 - Codecademy Practice (https://www.notion.so/1-Codecademy-Practice-c6840e1bcc5a4afe943d2ce756d6ed2c?pvs=21), 2 - Doulingo Study (https://www.notion.so/2-Doulingo-Study-a48782165da14c2e832529619f698826?pvs=21), 3 - Meditation (https://www.notion.so/3-Meditation-13e48cca210c41148fe694dc7f558a53?pvs=21), 4 - Calligraphy Practice (https://www.notion.so/4-Calligraphy-Practice-0a6b1ef391c24ef6bb89a6f912b95858?pvs=21), 5 - Summary, Question and Inspiration (https://www.notion.so/5-Summary-Question-and-Inspiration-e27fcfc0cbd547cd91031f013b7ac3a9?pvs=21), 6 - Deepstash / Article Reading (https://www.notion.so/6-Deepstash-Article-Reading-d74ab2052ca849b79de7ac1b3f147295?pvs=21), Relooking chanter 5 of the machine learning book. ( practice with each method on single data points, visualise what is happening) (https://www.notion.so/Relooking-chanter-5-of-the-machine-learning-book-practice-with-each-method-on-single-data-points--981a9fca768f4df2bf3397f7f5f20c46?pvs=21), Pack and organise everything in TV console (https://www.notion.so/Pack-and-organise-everything-in-TV-console-c5c74dca6c9945bfb1a6a6a1bef7e7d8?pvs=21), Clean up Kitchen and cabinate (kitchen cabinate as temp storage) (https://www.notion.so/Clean-up-Kitchen-and-cabinate-kitchen-cabinate-as-temp-storage-035291f233994ff5986001766c075665?pvs=21), [IHI] Lidar Report Dashboard - To improve icon design and traffic light display (https://www.notion.so/IHI-Lidar-Report-Dashboard-To-improve-icon-design-and-traffic-light-display-8d390c9d12fd4a52b9786273225f98c8?pvs=21), [IHI] Remove Top navigation link between SG and Japan map (https://www.notion.so/IHI-Remove-Top-navigation-link-between-SG-and-Japan-map-925f66bc22904cecb561c408d9f9bd93?pvs=21)",,11,,0.181818181818,4,
Sep 25,Saturday," 0%",████████ 82%,🔵🔵⚪️⚪️⚪️⚫️⚫️🔴,🚀 Productive,No,No,No,No,No,No,No,No,10.5,4.5,,6,,,,,Week 38 (https://www.notion.so/Week-38-61499056ba2647fcbff77bfa12961426?pvs=21),"September 25, 2021",0,Can I start immediately when I realised there is more meaningful thing to do?,9,❌ Record calories taken each meal,"1 - Codecademy Practice (https://www.notion.so/1-Codecademy-Practice-5260913c23ee41959e9a7944572da7f9?pvs=21), 6 - Deepstash / Article Reading (https://www.notion.so/6-Deepstash-Article-Reading-1f67087df2ae4670933302b9f0552419?pvs=21), 2 - Doulingo Study (https://www.notion.so/2-Doulingo-Study-618ca565c8494365b655081ae7ac631a?pvs=21), 3 - Meditation (https://www.notion.so/3-Meditation-b791b76bcbbb41b79fbb2842538ccab8?pvs=21), 4 - Calligraphy Practice (https://www.notion.so/4-Calligraphy-Practice-18859b97d1f24b558fda9f4c564ff837?pvs=21), 5 - Summary, Question and Inspiration (https://www.notion.so/5-Summary-Question-and-Inspiration-476405ff5c144bccadcb033e3ac2b4ca?pvs=21), Weekly Review (https://www.notion.so/Weekly-Review-03d682e72a7a4b6db516e5ea269132ea?pvs=21), Async API documentation part 1 - tables and dl display (https://www.notion.so/Async-API-documentation-part-1-tables-and-dl-display-3ee3fa201ac24a55a4835c7a6dc35bf3?pvs=21), New Navigation Index.yaml and logic (https://www.notion.so/New-Navigation-Index-yaml-and-logic-3563965571e64f2b9164c6c4dc8c5bbb?pvs=21), Pack craft tool, art tool and stationaries, document (https://www.notion.so/Pack-craft-tool-art-tool-and-stationaries-document-46f7e763fe0a4b56a3031888e1cacf3f?pvs=21), Planning of moving in, things to or (https://www.notion.so/Planning-of-moving-in-things-to-or-45efee218958430cb8c5ec0966121f44?pvs=21)",,11,,0.818181818182,9,
Sep 24,Friday," 0%",███████ 78%,⚪️⚪️⚪️⚪️⚪️⚫️⚫️🔴,💣 Burnout Day,No,No,No,No,No,No,No,No,8,2.5,0,5.5,,,,,Week 38 (https://www.notion.so/Week-38-61499056ba2647fcbff77bfa12961426?pvs=21),"September 24, 2021",0,Can I start immediately when I realised there is more meaningful thing to do?,7,❌ Record calories taken each meal,"1 - Codecademy Practice (https://www.notion.so/1-Codecademy-Practice-995cf73b314c4fc684856d534b8e0adb?pvs=21), 2 - Doulingo Study (https://www.notion.so/2-Doulingo-Study-a336f4ddd8314f0b8411bfea7aa62e81?pvs=21), 3 - Meditation (https://www.notion.so/3-Meditation-aabbb5594639475a8d05c978e3d75f11?pvs=21), 4 - Calligraphy Practice (https://www.notion.so/4-Calligraphy-Practice-6432dd8c961846cdb793b6b1e566d343?pvs=21), 5 - Summary, Question and Inspiration (https://www.notion.so/5-Summary-Question-and-Inspiration-6c008318a64447abb93661a0bf0d756b?pvs=21), 6 - Deepstash / Article Reading (https://www.notion.so/6-Deepstash-Article-Reading-c3268987f38647de996425d720bdb3b2?pvs=21), Async API documentation part 1 - tables and dl display (https://www.notion.so/Async-API-documentation-part-1-tables-and-dl-display-3ee3fa201ac24a55a4835c7a6dc35bf3?pvs=21), Purchase Imac 27'' (https://www.notion.so/Purchase-Imac-27-de80d7d9fd7b49f9863d0b07d3f83c06?pvs=21), Clean up Kitchen and cabinate (kitchen cabinate as temp storage) (https://www.notion.so/Clean-up-Kitchen-and-cabinate-kitchen-cabinate-as-temp-storage-035291f233994ff5986001766c075665?pvs=21)",Watched netflex till late night,9,,0.777777777778,8,Good
Sep 23,Thursday," 0%",█████ 50%,⚪️⚪️⚪️⚪️⚪️⚫️⚪️🔴,🧭 Reset Day,No,No,No,No,No,No,No,No,8,1.5,0,6.5,,,,Completed review of house purchasing process. Received house key,Week 38 (https://www.notion.so/Week-38-61499056ba2647fcbff77bfa12961426?pvs=21),"September 23, 2021",0,Can I start immediately when I realised there is more meaningful thing to do?,4,❌ Record calories taken each meal,"2 - Doulingo Study (https://www.notion.so/2-Doulingo-Study-c84be18777844abc82d2b81ab2e4d073?pvs=21), 1 - Codecademy Practice (https://www.notion.so/1-Codecademy-Practice-e79ab2ab8d624c1e9bf46de4222d7ed6?pvs=21), 6 - Deepstash / Article Reading (https://www.notion.so/6-Deepstash-Article-Reading-74ed09a0ffbd4abab86796d3d8143457?pvs=21), 3 - Meditation (https://www.notion.so/3-Meditation-62678bbb346f4e3db930e60d20275460?pvs=21), 4 - Calligraphy Practice (https://www.notion.so/4-Calligraphy-Practice-669645e38ba145b5aad69bea9651e487?pvs=21), 5 - Summary, Question and Inspiration (https://www.notion.so/5-Summary-Question-and-Inspiration-bb17fd4acb6f44deac0f5c7158c7b562?pvs=21), Research on summary techniques (https://www.notion.so/Research-on-summary-techniques-b4e006322d174dbaba921bec6b391237?pvs=21), Organise House Purchasing Process  (https://www.notion.so/Organise-House-Purchasing-Process-70ad03ded94a4f2d9d9e8eefd41aaefb?pvs=21)",,8,,0.5,4,Good
