date,total_sleep_hours
2021-02-20,8.25
2021-02-21,8.0
2021-02-22,5.75
2021-02-23,6.1
2021-02-24,6.5
2021-02-25,9.5
2021-02-26,7.0
2021-02-27,8.2
2021-02-28,6.0
2021-03-01,5.0
2021-03-02,6.25
2021-03-03,6.5
2021-03-04,7.25
2021-03-05,7.5
2021-03-06,9.5
2021-03-07,7.5
2021-03-08,5.25
2021-03-09,6.5
2021-03-10,7.0
2021-03-11,7.5
2021-03-12,6.5
2021-03-13,11.9
2021-03-14,6.0
2021-03-15,6.0
2021-03-16,5.1
2021-03-17,7.5
2021-03-18,2.0
2021-03-19,7.0
2021-03-20,8.0
2021-03-21,9.5
2021-03-22,6.25
2021-03-23,5.0
2021-03-24,7.25
2021-03-25,9.0
2021-03-26,8.5
2021-03-27,6.5
2021-03-28,10.5
2021-03-29,4.5
2021-03-30,7.75
2021-03-31,5.75
2021-04-01,7.0
2021-04-02,11.0
2021-04-03,6.0
2021-04-04,6.5
2021-04-05,6.0
2021-04-06,6.5
2021-04-07,6.0
2021-04-08,8.0
2021-04-09,7.85
2021-04-10,6.65
2021-04-11,7.0
2021-04-12,5.0
2021-04-13,8.0
2021-04-14,7.25
2021-04-15,7.5
2021-04-16,7.5
2021-04-17,7.0
2021-04-18,5.25
2021-04-19,6.0
2021-04-20,7.0
2021-04-21,7.5
2021-04-22,6.5
2021-04-23,6.5
2021-04-24,8.5
2021-04-25,8.0
2021-04-26,5.5
2021-04-27,5.5
2021-04-28,8.5
2021-04-29,6.5
2021-04-30,6.5
2021-05-01,8.2
2021-05-02,9.0
2021-05-03,5.5
2021-05-04,5.0
2021-05-05,10.0
2021-05-06,4.8
2021-05-07,7.15
2021-05-08,8.5
2021-05-09,6.0
2021-05-10,4.75
2021-05-11,7.25
2021-05-12,6.0
2021-05-13,8.0
2021-05-14,6.0
2021-05-15,5.25
2021-05-16,9.0
2021-05-17,5.0
2021-05-18,5.5
2021-05-19,7.0
2021-05-20,6.75
2021-05-21,5.0
2021-05-22,8.5
2021-05-23,6.75
2021-05-24,5.0
2021-05-25,6.75
2021-05-26,5.0
2021-05-27,7.5
2021-05-28,13.5
2021-05-29,0.0
2021-05-30,5.75
2021-05-31,6.5
2021-06-01,6.75
2021-06-02,5.75
2021-06-03,16.0
2021-06-04,6.0
2021-06-05,10.5
2021-06-06,6.0
2021-06-07,7.25
2021-06-08,6.25
2021-06-09,7.75
2021-06-10,5.0
2021-06-11,7.5
2021-06-12,7.5
2021-06-13,7.0
2021-06-14,4.75
2021-06-15,5.75
2021-06-16,6.5
2021-06-17,6.75
2021-06-18,6.0
2021-06-19,10.5
2021-06-20,9.0
2021-06-21,6.0
2021-06-22,5.65
2021-06-23,8.5
2021-06-24,7.5
2021-06-25,7.75
2021-06-26,9.0
2021-06-27,8.0
2021-06-28,7.0
2021-06-29,7.5
